rating,text
10,"I have never watched a show that is as consistently genuine and engaging as Breaking Bad. This is undoubtedly one of the greatest shows ever, and it consistently improves as it progresses.The Journeys of Walter White and Jesse Pinkman are unforgettable. These are some of the best-written characters to ever come from a pen-hitting paper.My praises for the acting and cinematography are unending. Some of the shots are intricate works of art, and I was rarely distracted by the acting. The performances are excellent to the extent that it feels improper to refer to them as performances.Overall, Breaking Bad consistently maintains a level of engagement and technical quality seen in only the best of movies, and in terms of tone, every intense moment is executed with excellence and always achieves the impact it reaches for.I feel like the show's plot in the early seasons lacks a certain level of complexity due to it not having a vast amount of plot threads, and the start is a bit slow-paced, but Breaking Bad is an absolute must-watch. If you have mixed feelings towards Season 1, trust me, it is only uphill from there.If there was ever a series you could call perfect, I think this might be it."
10,"Breaking Bad is absolutely, without a doubt, one of the greatest tv shows ever created...it's damn near perfect! I know that people say that about a ton of different shows but Breaking Bad really is universally thought of as one of the greatest shows of all-time. All you have to do is go google ""greatest tv shows of all-time"" and I guarantee you that it's at or near the top of every list you'll find and there's a reason for that...because it is! Every season is just as brilliant as the others, which everyone knows is almost impossible for a show to do but one which Breaking Bad absolutely pulls off!! If you're one of the few people who still haven't seen this amazing show then do yourself a favor and go watch this immediately...you will not be disappointed!"
10,"'Breaking Bad' is one of the most popular rated shows on IMDb, is one of those rarities where every season has either been very positively received or near-universally acclaimed critically and where all of my friends have said nothing but great things about.Very few shows in recent memory had me so hooked from the very start that before the week was over the whole show had been watched, especially when for a lot of shows now airing watching one episode all the way through can be an endeavour. 'Breaking Bad' had that effect on me, and its reputation as one of the best, consistently brilliant and most addictive shows in many years (maybe even ever) is more than deserved in my eyes. Its weakest season is perhaps the first season, understandable as any show's first season is the one where things are still settling.Actually everything is established remarkably from the very start, but once the writing and characterisation becomes even meatier the show reaches even higher levels.Visually, 'Breaking Bad' is one of those shows that is both stylish and beautiful, with photography and editing that are cinematic quality and put a lot of films today to shame, where there are a lot of visually beautiful ones but also some painfully amateurish looking ones. The music always has the appropriate mood, never too intrusive, never too muted.The writing for 'Breaking Bad' is a fine example to all shows of how to have a lot of style but also to have a lot of substance. The dialogue throughout is thought-provoking and tense, while also have a darkly wicked sense of humour and heart-tugging pathos. The stories are texturally rich, intimate, tense and layered, with the pace of them consistently deliberate but taut. The direction couldn't be better.Can't say anything bad about the acting. Bryan Cranston is phenomenal as one of the most fascinating anti-heroes, or even of any kind of character, in either film or television. Aaron Paul has never been better and Anna Gunn is affecting. The characters are compelling in their realism.Overall, describing it as brilliant doesn't do 'Breaking Bad' justice. 10/10 Bethany Cox"
10,Breaking Bad is every bit as good as everyone says it is. It's easily one of my favorites shows of all-time and one of the best shows in the history of television. Just read through the reviews and look at the 9.5 rating to see how loved this show really is. The writing and acting is what makes this show so special. I love this show so much that I've already watched it all the way through twice already and plan on doing so again sometime in the near future. There's nothing more I can say about this incredible show that hasn't already been said so just go watch it. But plan ahead to give yourself enough time because you're going to want to binge this as quickly as you can. It's addicting once you start!
10,"One of the greatest shows ever, the pacing is excellent. The characters are well developed and entertaining. The show ties everything together very neatly. It's honestly a show that get's better each time you view it. It's cathartic to see Walter break bad and how the story unravels is the best way it could have. Very good storytelling, well done to Vince Gilligan."
10,I cannot stress enough how good this show is. I've watched a lot of TV in my life and this show still remains the best show I've ever seen.
10,"If you are among the few who haven't seen it yet: believe the hype, it really is THAT good. Breaking Bad may not depict reality the way 'Generation Kill' or 'The Wire' did - but then it's not about that, either. From an artistic point of view - performances, writing, direction, camera, music - this show is every bit as good as the other two mentioned above, but unlike those, 'Breaking Bad' just wants to entertain and therefore enjoys a lot more creative freedom.The show plays like the daydream fantasy of any underachieving, struggling middle class family man who's had to bury all his dreams (I mean: who wouldn't want to be a meth-kingpin for a little while?), before it turns into a nightmare. One could almost say that 'Heisenberg' is Walter White's 'Tyler Durden'(for those who don't get the reference: watch 'Fight Club' - you won't regret it).For pure entertainment value, this is simply the best show I've ever seen. Every single one of the main characters has already reached the status of a screen icon - when does that ever happen?! Most fun I've ever had watching a TV-show and an instant classic."
10,Re-Watched it 7 times and counting. I guess I liked it.
10,"Breaking Bad feels like fever dream. A really REALLY good fever dream. The directing is absolutely perfect. The characters bounce off each other in this really well done way. I can really feel the true emotion and pure character coming from each one. I can feel the greed, lust, money hunger animals each of these characters are. There are no true heroes in this story (except hank I love u)."
10,Direction- PERFECT!!Screenplay-PERFECT!!Writing-PERFECT!!Score-PERFECT!!Cinematography-PERFECT!!Casting-PERFECT!!Beginning-PERFECT!!Climax-PERFECT!!Acting-BEYOND PERFECT!!Overall-(as I said) ABSOLUTE PERFECTION.
10,"This serie is unique. This is somehow realistic and amazing also. Even if you're going to watch for find the flaws, I bet you can't find real major flaws in this serie. You know some people are just tries to find nonsense things in contents. (I mean in a movie or TV show) They are hard to pleased but even those people can enjoy this serie, because they really can't find one easily.I don't know how Vince Gilligan think this serie. It is real complicated and amazing story. He's a true genius that deserves so much more. He shared the golden age of TV Shows with Game of Thrones. It is best crime, drama TV series possible. And it ended with the best way possible.The actings are quite remarkable. I don't know how we were'nt know the name Bryan Cranston, I don't know how he didn't became a big star before this show. Giancarlo Esposito, Aaron Paul, Anna Gunn Jonathan Bakns and Bob Odenkirk is also pretty amazing. Nearly all cast did a perfect job.Cinematography is so good in this serie. Not only looks great but also brings realistic style with that shaking camera sequences. You feel the moment with silence.Costume Design is also underrated. Did you know that characters has his own colors that reflects his personality? I know, it isn't a secret, many people know that but it really is something great.Also makeups are pretty good, did you know Bryan Cranston had hair when he's bald? Yes there was hair behind that. I know it's not that hard thing to do, It's not magic. But also wounded characters are too realistic. Especially Jesse's wounded face."
10,"BREAKING BAD:Season One explodes like a sucker punch to the gut, and is nothing short of mind-blowing. The pilot for this series is a definite ""Must See"", and stands with the greats of Action/Adventure Television and Cinema. This segment begins at such a giddy peak, that you think the only way forward would be to tell the tale as a long flashback. However, through a marvelous piece of editing and writing, the plot miraculously moves forward from that point. Bryon Cranston's idiosyncratic performance is a joy to behold. He embodies a man who is against a rock, and an even harder place, who has no other option but to throttle his higher aspirations and grimly carry on. His solace and validation in middle-class morality and virtuous conduct is long gone. I eagerly look forward to more of this ambitious, entertaining series."
